statistikkvariabel	age	gender	diagnosis	year	nConsultations
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2012	193837
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2013	197110
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2014	200619
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2015	206743
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2016	210358
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2017	207851
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2018	191160
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2019	187527
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2020	188886
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2021	194582
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2022	176678
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2023	174846
Konsultasjoner	Alle aldre	Kvinner	Ledd- og giktsykdommer	2024	169437
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2012	789047
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2013	797765
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2014	821302
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2015	840611
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2016	864359
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2017	895882
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2018	927423
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2019	973221
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2020	1077580
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2021	1164261
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2022	1140759
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2023	1282048
Konsultasjoner	Alle aldre	Kvinner	Psykisk sykdom eller lidelse	2024	1348287
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2012	234688
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2013	235621
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2014	252245
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2015	251861
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2016	254636
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2017	264714
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2018	266375
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2019	286930
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2020	300271
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2021	308000
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2022	274607
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2023	283822
Konsultasjoner	Alle aldre	Kvinner	Atopi, astma, allergi eller eksem	2024	285079
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2012	343927
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2013	340251
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2014	319716
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2015	305475
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2016	300576
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2017	298780
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2018	297453
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2019	296526
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2020	294083
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2021	299358
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2022	288198
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2023	298605
Konsultasjoner	Alle aldre	Kvinner	Hoeyt blodtrykk	2024	295836
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2012	299221
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2013	286499
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2014	264287
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2015	244577
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2016	223966
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2017	204689
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2018	187764
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2019	172427
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2020	163786
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2021	153911
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2022	138581
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2023	132862
Konsultasjoner	Alle aldre	Kvinner	Hjertesykdom	2024	127318
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2012	151550
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2013	149399
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2014	152042
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2015	156306
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2016	157305
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2017	163931
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2018	162387
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2019	166215
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2020	179303
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2021	190595
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2022	190663
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2023	195555
Konsultasjoner	Alle aldre	Kvinner	Diabetes	2024	197924
Konsultasjoner	Alle aldre	Kvinner	Kreft	2012	82815
Konsultasjoner	Alle aldre	Kvinner	Kreft	2013	84324
Konsultasjoner	Alle aldre	Kvinner	Kreft	2014	89576
Konsultasjoner	Alle aldre	Kvinner	Kreft	2015	94424
Konsultasjoner	Alle aldre	Kvinner	Kreft	2016	98667
Konsultasjoner	Alle aldre	Kvinner	Kreft	2017	100890
Konsultasjoner	Alle aldre	Kvinner	Kreft	2018	103751
Konsultasjoner	Alle aldre	Kvinner	Kreft	2019	105136
Konsultasjoner	Alle aldre	Kvinner	Kreft	2020	120131
Konsultasjoner	Alle aldre	Kvinner	Kreft	2021	125669
Konsultasjoner	Alle aldre	Kvinner	Kreft	2022	117181
Konsultasjoner	Alle aldre	Kvinner	Kreft	2023	120703
Konsultasjoner	Alle aldre	Kvinner	Kreft	2024	116571
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2012	182220
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2013	189715
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2014	198583
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2015	196813
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2016	197484
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2017	208427
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2018	212657
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2019	220183
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2020	231863
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2021	246945
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2022	245632
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2023	283544
Konsultasjoner	Alle aldre	Kvinner	Underlivsplager hos kvinner	2024	300763
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2012	306426
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2013	314879
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2014	333086
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2015	330619
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2016	341690
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2017	353780
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2018	359015
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2019	372834
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2020	381614
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2021	399329
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2022	409664
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2023	433389
Konsultasjoner	Alle aldre	Kvinner	Funksjonelle mage-tarmplager	2024	429715
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2012	131995
Konsultasjoner	Alle aldre	Kvinner	Hudinfeksjoner	2013	133631
